item_quantidade,notas_nota_id,produtos_produto_id,item_preco,item_total,nota_id,nota_data_hora,clientes_cliente_id,cliente_id,cliente_nome,cliente_cpf,cliente_endereco,cliente_telefone,produto_id,produto_descricao,departamentos_departamento_id,produto_estoque,produto_preco,departamento_id,departamento_descricao
2,1,101,35.99,71.98,1,"2025-01-05 08:30:00",1,1,"Ana Paula Silva",12345678901,"Rua das Flores, 123","(11) 99999-8888",101,"Contrafilé Bovino",1,50.5,35.99,1,Açougue
1,1,201,0.75,0.75,1,"2025-01-05 08:30:00",1,1,"Ana Paula Silva",12345678901,"Rua das Flores, 123","(11) 99999-8888",201,"Pão Francês (un)",2,500,0.75,2,Padaria
3,1,301,3.8,11.40,1,"2025-01-05 08:30:00",1,1,"Ana Paula Silva",12345678901,"Rua das Flores, 123","(11) 99999-8888",301,"Leite Integral (litro)",3,150,3.8,3,Laticínios
2,1,408,8.5,17.00,1,"2025-01-05 08:30:00",1,1,"Ana Paula Silva",12345678901,"Rua das Flores, 123","(11) 99999-8888",408,"Blanquet de Peru Fatiado (100g)",4,55,8.5,4,Frios
2,1,414,16.5,33.00,1,"2025-01-05 08:30:00",1,1,"Ana Paula Silva",12345678901,"Rua das Flores, 123","(11) 99999-8888",414,"Salsichão (kg)",4,50,16.5,4,Frios
1,41,108,42.5,42.50,41,"2025-07-24 15:45:00",1,1,"Ana Paula Silva",12345678901,"Rua das Flores, 123","(11) 99999-8888",108,"Miolo de Alcatra (kg)",1,18,42.5,1,Açougue
2,41,207,3.8,7.60,41,"2025-07-24 15:45:00",1,1,"Ana Paula Silva",12345678901,"Rua das Flores, 123","(11) 99999-8888",207,"Croissant (un)",2,45,3.8,2,Padaria
1,81,109,11.8,11.80,81,"2025-02-07 09:00:00",1,1,"Ana Paula Silva",12345678901,"Rua das Flores, 123","(11) 99999-8888",109,"Asa de Frango (kg)",1,65,11.8,1,Açougue
3,81,205,6.8,20.40,81,"2025-02-07 09:00:00",1,1,"Ana Paula Silva",12345678901,"Rua das Flores, 123","(11) 99999-8888",205,"Torta de Maçã (fat)",2,20,6.8,2,Padaria
1,121,417,7.2,7.20,121,"2025-08-26 14:30:00",1,1,"Ana Paula Silva",12345678901,"Rua das Flores, 123","(11) 99999-8888",417,"Azeitona Preta (pote)",4,30,7.2,4,Frios
2,121,612,4.5,9.00,121,"2025-08-26 14:30:00",1,1,"Ana Paula Silva",12345678901,"Rua das Flores, 123","(11) 99999-8888",612,"Macarrão Parafuso (500g)",6,100,4.5,6,Mercearia
3,10,202,5.5,16.50,10,"2025-02-19 17:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",202,"Bolo de Chocolate (fat)",2,30,5.5,2,Padaria
1,10,304,9.2,9.20,10,"2025-02-19 17:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",304,"Manteiga com Sal (500g)",3,60,9.2,3,Laticínios
2,10,704,2.5,5.00,10,"2025-02-19 17:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",704,"Água Mineral sem Gás (1.5L)",7,250,2.5,7,Bebidas
1,10,413,7,7.00,10,"2025-02-19 17:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",413,"Ovo Branco (dúzia)",4,60,7,4,Frios
4,10,213,9.5,38.00,10,"2025-02-19 17:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",213,"Bolo Inglês (un)",2,25,9.5,2,Padaria
4,10,603,5.5,22.00,10,"2025-02-19 17:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",603,"Óleo de Soja (900ml)",6,100,5.5,6,Mercearia
4,10,603,5.5,22.00,10,"2025-02-19 17:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",603,"Óleo de Soja (900ml)",6,100,5.5,6,Mercearia
2,10,416,11.5,23.00,10,"2025-02-19 17:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",416,"Queijo Gouda Fatiado (100g)",4,25,11.5,4,Frios
4,10,417,7.2,28.80,10,"2025-02-19 17:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",417,"Azeitona Preta (pote)",4,30,7.2,4,Frios
4,50,210,2.8,11.20,50,"2025-09-07 11:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",210,"Baguete (un)",2,65,2.8,2,Padaria
1,50,613,3.9,3.90,50,"2025-09-07 11:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",613,"Farinha de Mandioca (500g)",6,65,3.9,6,Mercearia
1,90,911,3.8,3.80,90,"2025-03-24 15:30:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",911,"Algodão (pacote)",9,70,3.8,9,"Higiene Pessoal"
2,90,610,19.9,39.80,90,"2025-03-24 15:30:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",610,"Azeite de Oliva (500ml)",6,70,19.9,6,Mercearia
1,130,916,6.5,6.50,130,"2025-10-11 21:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",916,"Absorvente (pacote)",9,50,6.5,9,"Higiene Pessoal"
2,130,417,7.2,14.40,130,"2025-10-11 21:00:00",2,2,"Carlos Alberto Oliveira",98765432109,"Avenida Principal, 456","(21) 88888-7777",417,"Azeitona Preta (pote)",4,30,7.2,4,Frios
2,18,505,3.1,6.20,18,"2025-03-31 09:30:00",3,3,"Maria Fernanda Santos",11223344556,"Travessa da Paz, 789","(31) 77777-6666",505,"Cenoura (kg)",5,110,3.1,5,Hortifruti
